tick,waypoint_idx,loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,throttle,steer,brake
0,2774,-283.8004,391.69943,-0.018575553,0.0022956342,0.00093942217,0.05524637,0.055302027612924576,-0.0010807106403169923,-0.0004167556472915593,1.9198571171876913,0.0,0.0,0.0
1,2774,-283.8004,391.69937,-0.016245613,0.0017296077,0.0007058473,0.038604803,0.03864997625350952,-0.0008069377452754278,-0.00030362604660864694,1.9198572503457458,0.0,0.0,0.0
2,2774,-283.80048,391.69934,-0.014625626,0.0012981084,0.00052818126,0.02666512,0.026701921597123146,-0.0006018743413393266,-0.0002206563876686848,1.9198573835038004,0.0,0.0,0.0
3,2774,-283.8005,391.69928,-0.01351078,0.0009723729,0.0003944233,0.018247552,0.018277699127793312,-0.00044900895978735954,-0.00016009806479050912,1.9198572503457458,0.0,0.0,0.0
4,2774,-283.80057,391.69925,-0.012749862,0.0007273486,0.00029412995,0.012388878,0.012413695454597473,-0.0003350256326226775,-0.00011599062957053517,1.9198571171876913,0.0,0.0,0.0
5,2774,-283.8006,391.69925,-0.012234077,0.0005435543,0.00021913213,0.008360062,0.008380578830838203,-0.0002498045427587232,-8.404254680465137e-05,1.9198571171876913,0.0,0.0,0.0
6,2774,-283.80063,391.69922,-0.01188652,0.00040625807,0.00016333039,0.0056078434,0.005624911282211542,-0.00018642126005090134,-6.091594539363651e-05,1.9198571171876913,0.0,0.0,0.0
7,2774,-283.80063,391.69922,-0.011653518,0.00030319946,0.00012151267,0.0037434911,0.003757714992389083,-0.0001390169926474909,-4.410743521997397e-05,1.9198571171876913,0.0,0.0,0.0
8,2774,-283.80063,391.69922,-0.011497955,0.00022612828,9.039493e-05,0.0024898003,0.0025016816798597574,-0.00010386328251309029,-3.1828879324391507e-05,1.9198571171876913,0.0,0.0,0.0
9,2774,-283.80063,391.69916,-0.011394424,0.00016896914,6.733685e-05,0.0016481017,0.0016581086674705148,-7.723166348497525e-05,-2.3126601411014863e-05,1.9198571171876913,0.0,0.0,0.0
10,2774,-283.80066,391.69916,-0.01132576,0.00012613363,5.014969e-05,0.0010877991,0.0010962351225316525,-5.7524279545711544e-05,-1.680850915774721e-05,1.9198571171876913,0.0,0.0,0.0
11,2774,-283.80066,391.69916,-0.011280403,9.42385e-05,3.7359827e-05,0.0007157135,0.0007228571339510381,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
12,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
13,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
14,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
15,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
16,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
17,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
18,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
19,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
20,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
21,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
22,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
23,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
24,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
25,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
26,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
27,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
28,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
29,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
30,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
31,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
32,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
33,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
34,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
35,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
36,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
37,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
38,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
39,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
40,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
41,2774,-283.80066,391.69916,-0.011280403,0.0,-0.0,0.0,0.0,-4.3143205595622324e-05,-1.215934635859818e-05,1.9198571171876913,0.0,0.0,0.0
